Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target,Probability,Signal,Position_Change
2025-05-05,1418.75,1427.18,1414.68,1419.05,12685649,0.0857,0.1189,0.0956,79.2735,0.0314,0.0185,12.303,0.0229,0.2287,15467485.6,0.8201,0.0081,0.1007,0.123,0,0.4981,-1,0
2025-05-06,1418.75,1419.74,1398.52,1408.73,14084117,0.0698,0.1059,0.0867,75.6917,0.0333,0.0216,9.6792,0.0222,0.244,15664561.95,0.8991,-0.0073,0.0381,0.0968,0,0.4916,-1,0
2025-05-07,1408.73,1412.2,1390.69,1393.96,13440169,0.0527,0.0903,0.0745,70.7637,0.0338,0.0242,8.8912,0.022,0.2542,15964852.1,0.8419,-0.0105,0.0045,0.0889,1,0.4931,-1,0
2025-05-08,1392.08,1408.64,1386.03,1394.95,16106175,0.0482,0.0872,0.0744,70.9004,0.0335,0.026,8.2305,0.0225,0.2535,15874728.25,1.0146,0.0007,0.0014,0.0823,0,0.5177,-1,0
2025-05-09,1373.64,1382.86,1362.73,1365.41,13668904,0.0234,0.0615,0.0511,61.6359,0.0319,0.0277,5.808,0.0219,0.2415,15450368.15,0.8847,-0.0212,-0.03,0.0581,1,0.4899,-1,0
2025-05-12,1388.01,1426.68,1388.01,1424.2,10674081,0.0607,0.1026,0.0953,70.0295,0.0318,0.0276,10.4656,0.0224,0.2223,15006320.2,0.7113,0.0431,0.0036,0.1047,0,0.5305,1,2
2025-05-13,1421.23,1435.3,1400.31,1403.58,11407896,0.0408,0.0829,0.0786,64.684,0.0317,0.0287,3.4265,0.0236,0.2071,15065559.8,0.7572,-0.0145,-0.0037,0.0343,1,0.5093,-1,-2
2025-05-14,1407.84,1417.66,1403.38,1412.2,5570160,0.0425,0.0858,0.0843,65.8573,0.0311,0.0291,1.764,0.0232,0.1926,14782855.7,0.3768,0.0061,0.0131,0.0176,1,0.5397,1,2
2025-05-15,1412.8,1448.89,1400.6,1441.75,20177211,0.0579,0.1038,0.1058,69.5874,0.0315,0.0291,3.5019,0.0244,0.1813,15122789.5,1.3342,0.0209,0.0335,0.035,1,0.5279,1,0
2025-05-16,1440.76,1448.49,1434.91,1443.93,9036695,0.0535,0.1009,0.1063,69.8491,0.0321,0.0296,2.5781,0.0232,0.1682,15162201.05,0.596,0.0015,0.0575,0.0258,0,0.5236,1,0
2025-05-19,1439.67,1442.15,1425.89,1428.46,6195791,0.038,0.0853,0.0934,65.5391,0.0316,0.0303,0.6631,0.0207,0.1594,14702070.55,0.4214,-0.0107,0.003,0.0066,0,0.5062,-1,-2
2025-05-20,1425.89,1432.63,1409.63,1412.4,11270560,0.0238,0.0701,0.0803,61.3097,0.0301,0.0305,0.2605,0.02,0.1507,14744100.35,0.7644,-0.0112,0.0063,0.0026,1,0.4928,-1,0
2025-05-21,1411.71,1423.9,1405.96,1416.96,6136364,0.0245,0.0704,0.0829,62.0584,0.0284,0.03,1.65,0.0187,0.1353,14398333.2,0.4262,0.0032,0.0034,0.0165,0,0.5241,1,2
2025-05-22,1409.03,1411.61,1384.94,1397.33,12134466,0.0093,0.0533,0.0671,56.9494,0.0262,0.0296,0.1706,0.0195,0.1195,14481012.1,0.838,-0.0139,-0.0308,0.0017,1,0.4846,-1,-2
2025-05-23,1394.56,1421.52,1394.56,1414.58,6474883,0.0196,0.0635,0.0794,60.061,0.0244,0.0283,3.6011,0.0196,0.0961,14281309.25,0.4534,0.0123,-0.0203,0.036,1,0.5308,1,2
2025-05-26,1419.74,1428.66,1412.9,1422.52,4842944,0.0229,0.0666,0.0846,61.4424,0.0234,0.0272,-0.118,0.0192,0.0617,13801905.85,0.3509,0.0056,-0.0042,-0.0012,0,0.5294,1,0
2025-05-27,1413.89,1424.7,1401.79,1409.92,12640414,0.0125,0.0548,0.0742,58.0132,0.0219,0.0263,0.4517,0.0194,0.0524,12878701.75,0.9815,-0.0089,-0.0018,0.0045,0,0.5106,-1,-2
2025-05-28,1407.94,1410.42,1398.62,1400.8,5944611,0.0054,0.046,0.0665,55.5946,0.0199,0.0252,-0.8073,0.019,0.051,11548983.8,0.5147,-0.0065,-0.0114,-0.0081,1,0.5192,-1,0
2025-05-29,1400.01,1407.84,1396.54,1405.66,13771917,0.008,0.0476,0.0695,56.6322,0.0182,0.0237,-2.5032,0.0179,0.0496,10963542.4,1.2562,0.0035,0.006,-0.025,1,0.5191,-1,0
2025-05-30,1405.86,1418.35,1397.63,1408.73,13788484,0.0092,0.0478,0.071,57.3108,0.0169,0.0223,-2.4378,0.0158,0.0495,11002574.55,1.2532,0.0022,-0.0041,-0.0244,0,0.5559,1,2
2025-06-02,1400.01,1405.36,1383.65,1401.6,8098668,0.0037,0.0408,0.0649,55.1524,0.0154,0.021,-1.8803,0.0154,0.0498,10773225.5,0.7517,-0.0051,-0.0147,-0.0188,0,0.5463,1,0
2025-06-03,1410.12,1414.29,1391.38,1393.47,11252626,-0.0019,0.0333,0.0581,52.7145,0.0135,0.0196,-1.3403,0.0159,0.0513,10631650.95,1.0584,-0.0058,-0.0117,-0.0134,1,0.5585,1,0
2025-06-04,1402.59,1413.49,1394.06,1411.31,8126827,0.0098,0.0447,0.0709,57.1867,0.0127,0.018,-0.3987,0.0143,0.0495,10365983.85,0.784,0.0128,0.0075,-0.004,1,0.5474,1,0
