Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target
2020-02-11,644.52,652.89,643.47,646.9,13999816,-0.0111,-0.0265,-0.0352,52.6523,-0.0156,-0.0136,-1.2909,0.0229,0.145,19853739.9,0.7051,0.012,0.0185,-0.0129,1
2020-02-12,648.42,656.74,647.9,654.72,13533565,0.0008,-0.0141,-0.0233,55.6556,-0.0134,-0.0135,-0.6449,0.0226,0.1409,19739525.2,0.6856,0.0121,0.0151,-0.0064,1
2020-02-13,658.03,658.03,651.29,656.43,13565659,0.0031,-0.0111,-0.0205,56.3083,-0.0114,-0.013,2.1061,0.0225,0.1355,19775409.4,0.686,0.0026,0.0112,0.0211,1
2020-02-14,657.81,668.59,647.06,662.42,21227841,0.011,-0.002,-0.0115,58.6065,-0.009,-0.0121,5.3802,0.0236,0.1173,19363627.9,1.0963,0.0091,0.0376,0.0538,0
2020-02-17,663.04,670.68,656.5,658.26,13149130,0.0042,-0.008,-0.0175,56.3882,-0.0076,-0.0113,6.6941,0.0231,0.1116,18393791.9,0.7149,-0.0063,0.0297,0.0669,0
2020-02-18,657.21,657.21,648.97,653.42,11127161,-0.0028,-0.0147,-0.0245,53.8349,-0.007,-0.0105,2.8732,0.0228,0.1045,18004013.95,0.618,-0.0074,0.0101,0.0287,1
2020-02-19,658.75,670.81,656.85,669.63,14084409,0.0198,0.0094,-0.0003,60.3159,-0.0043,-0.009,3.817,0.0222,0.096,18192093.55,0.7742,0.0248,0.0228,0.0382,0
2020-02-20,666.61,671.5,660.73,661.68,16892268,0.0069,-0.0025,-0.0121,56.1524,-0.0033,-0.008,1.9302,0.0214,0.0899,18474320.0,0.9144,-0.0119,0.008,0.0193,0
2020-02-24,654.47,657.7,641.02,643.43,21370214,-0.0189,-0.0289,-0.0389,47.9668,-0.0048,-0.0075,0.7879,0.0219,0.0844,18811408.45,1.136,-0.0276,-0.0287,0.0079,0
2020-02-25,646.3,646.3,627.86,630.71,27745062,-0.0348,-0.0463,-0.0574,43.2359,-0.0075,-0.0076,-1.3375,0.0221,0.0837,19529274.05,1.4207,-0.0198,-0.0419,-0.0134,0
2020-02-26,627.86,628.91,617.78,619.85,29362748,-0.0467,-0.0604,-0.0729,39.6412,-0.011,-0.0084,-4.1815,0.0226,0.0929,19770799.65,1.4852,-0.0172,-0.0514,-0.0418,0
2020-02-27,618.07,620.65,609.61,617.29,25054993,-0.0461,-0.0619,-0.0761,38.8218,-0.014,-0.0096,-5.7169,0.0226,0.0995,19786221.05,1.2663,-0.0041,-0.0782,-0.0572,0
2020-02-28,603.33,604.26,590.01,591.64,39315769,-0.0782,-0.0973,-0.1134,31.7421,-0.0202,-0.012,-9.8701,0.0253,0.1301,20631875.05,1.9056,-0.0416,-0.1059,-0.0987,0
2020-03-02,603.42,609.61,579.37,586.07,29500495,-0.0792,-0.1021,-0.1207,30.4437,-0.0254,-0.0148,-11.5259,0.0273,0.155,20369384.3,1.4483,-0.0094,-0.0891,-0.1153,1
2020-03-03,592.11,602.88,588.68,597.96,27398798,-0.0551,-0.0808,-0.102,36.422,-0.0269,-0.017,-9.1605,0.0271,0.1608,20203709.7,1.3561,0.0203,-0.0519,-0.0916,0
2020-03-04,602.04,602.84,582.4,596.56,22105261,-0.0521,-0.08,-0.1031,36.0293,-0.0284,-0.0193,-8.7019,0.0285,0.1727,20039777.7,1.1031,-0.0023,-0.0376,-0.087,0
2020-03-05,602.13,604.69,581.55,583.85,30510390,-0.0659,-0.0961,-0.1212,32.5937,-0.0315,-0.0221,-12.8101,0.0311,0.1928,20641692.2,1.4781,-0.0213,-0.0542,-0.1281,0
2020-03-06,565.52,573.61,552.65,565.97,33734039,-0.0863,-0.1195,-0.1468,28.4796,-0.0367,-0.0256,-14.4647,0.0333,0.223,21551465.3,1.5653,-0.0306,-0.0434,-0.1446,0
2020-03-09,552.19,552.61,487.6,496.12,88187018,-0.1836,-0.2212,-0.2502,18.6014,-0.0564,-0.0346,-22.8945,0.0472,0.348,25350355.6,3.4787,-0.1234,-0.1535,-0.2289,1
2020-03-11,493.39,524.76,493.39,513.67,59578576,-0.1421,-0.1875,-0.222,25.5853,-0.0621,-0.0392,-18.5569,0.0487,0.3829,27572160.6,2.1608,0.0354,-0.141,-0.1856,0
2020-03-12,483.14,490.27,466.98,473.35,55970485,-0.1933,-0.2438,-0.281,21.1051,-0.08,-0.05,-23.6348,0.0572,0.4889,29670694.05,1.8864,-0.0785,-0.2065,-0.2363,1
2020-03-13,444.4,507.64,419.65,492.18,73297403,-0.1481,-0.2071,-0.2506,27.4909,-0.0824,-0.0549,-20.2676,0.0663,0.504,32658885.95,2.2443,0.0398,-0.157,-0.2027,0
2020-03-16,472.26,480.78,447.52,452.29,38482258,-0.2006,-0.2635,-0.3092,23.2058,-0.1004,-0.0679,-23.5532,0.0759,0.6053,33904715.9,1.135,-0.081,-0.2009,-0.2355,0
2020-03-17,466.33,472.01,446.72,448.86,45445979,-0.1908,-0.2613,-0.3122,22.8756,-0.109,-0.0766,-23.4119,0.0776,0.6487,35115622.8,1.2942,-0.0076,-0.0953,-0.2341,0
2020-03-18,456.56,461.28,427.93,431.27,44730415,-0.2057,-0.2821,-0.337,21.209,-0.1219,-0.0881,-27.8764,0.0841,0.7154,36694687.05,1.219,-0.0392,-0.1604,-0.2788,0
2020-03-19,409.72,430.6,397.29,408.65,61404010,-0.2292,-0.3111,-0.3694,19.2652,-0.1386,-0.1021,-31.4989,0.0928,0.8012,39208529.5,1.5661,-0.0524,-0.1367,-0.315,1
2020-03-20,418.35,460.83,414.12,453.29,63360475,-0.133,-0.2287,-0.2984,32.4271,-0.1226,-0.0982,-22.3619,0.0876,0.7064,41672332.8,1.5204,0.1092,-0.079,-0.2236,0
2020-03-23,407.98,423.03,389.92,393.66,40670949,-0.2289,-0.3214,-0.3883,26.2669,-0.1496,-0.1204,-30.4451,0.1068,0.8291,42861266.85,0.9489,-0.1315,-0.1296,-0.3045,1
2020-03-24,414.12,431.94,398.89,420.09,45734887,-0.163,-0.2679,-0.345,32.397,-0.1398,-0.1182,-15.3249,0.1038,0.7666,44079500.5,1.0376,0.0671,-0.0641,-0.1532,1
2020-03-25,429.17,512.78,428.93,481.92,73130298,-0.0362,-0.1548,-0.2467,44.1046,-0.1099,-0.1044,-6.181,0.1012,0.634,46348762.3,1.5778,0.1472,0.1174,-0.0618,0
2020-03-26,487.95,497.35,464.15,474.77,45744488,-0.0459,-0.1619,-0.256,43.1735,-0.102,-0.1052,0.3,0.1042,0.6091,47167849.3,0.9698,-0.0148,0.1618,0.003,0
2020-03-27,487.6,493.07,465.87,474.51,41657940,-0.0422,-0.157,-0.2545,43.1378,-0.0935,-0.1029,-3.5901,0.1037,0.5682,47997996.65,0.8679,-0.0005,0.0468,-0.0359,0
2020-03-30,463.37,478.6,454.2,458.85,30229866,-0.0672,-0.1788,-0.2771,40.9439,-0.0913,-0.1034,1.4504,0.0988,0.5582,47543701.5,0.6358,-0.033,0.1656,0.0145,1
2020-03-31,478.22,503.09,466.67,495.95,44292810,0.0074,-0.1085,-0.2169,47.7266,-0.0737,-0.0912,10.491,0.0933,0.4837,48283317.25,0.9174,0.0809,0.1806,0.1049,0
2020-04-01,499.73,500.78,465.42,481.12,41597459,-0.0206,-0.1305,-0.2385,45.4781,-0.0688,-0.089,11.5589,0.0945,0.4476,48993250.3,0.849,-0.0299,-0.0017,0.1156,0
2020-04-03,505.16,505.16,470.36,479.78,41367807,-0.0212,-0.1284,-0.2388,45.2706,-0.0628,-0.084,17.4061,0.0868,0.3862,49956377.6,0.8281,-0.0028,0.0106,0.1741,1
2020-04-07,490.76,540.59,489.82,537.07,54373624,0.0858,-0.0234,-0.1467,54.7733,-0.0426,-0.0685,18.4826,0.0797,0.3084,51149539.3,1.063,0.1194,0.1318,0.1848,0
2020-04-08,525.45,547.27,516.54,530.86,49880330,0.0658,-0.0334,-0.1552,53.6852,-0.0329,-0.0621,34.8524,0.0813,0.2847,51956853.85,0.96,-0.0116,0.1569,0.3485,1
2020-04-09,540.59,548.96,531.24,543.24,33032857,0.0814,-0.0104,-0.1344,55.5797,-0.0221,-0.0529,29.3151,0.0775,0.3008,49199145.8,0.6714,0.0233,0.0954,0.2932,0
2020-04-13,536.11,541.03,525.45,529.52,23673784,0.0486,-0.0341,-0.1549,52.9926,-0.0165,-0.0467,9.8772,0.0773,0.316,47403906.2,0.4994,-0.0253,0.1006,0.0988,0
2020-04-15,533.04,550.38,508.97,512.02,35321842,0.0126,-0.0636,-0.1814,49.8079,-0.0145,-0.0416,7.8459,0.0785,0.3338,46371474.05,0.7617,-0.033,0.0672,0.0785,1
2020-04-16,512.02,528.76,509.86,520.13,37455706,0.0259,-0.0469,-0.167,51.2695,-0.0109,-0.0349,9.6141,0.0711,0.3366,44579389.2,0.8402,0.0158,-0.0315,0.0961,1
2020-04-17,541.48,547.71,531.08,545.04,33269335,0.0674,-0.0012,-0.126,55.5509,-0.0041,-0.0275,18.7839,0.0665,0.3371,44318743.05,0.7507,0.0479,0.0267,0.1878,1
2020-04-20,545.93,559.73,535.24,553.86,36030932,0.076,0.0143,-0.1109,56.9917,0.0021,-0.0212,11.6766,0.0566,0.3468,43847990.7,0.8217,0.0162,0.0195,0.1168,0
2020-04-21,538.81,557.51,518.32,550.98,61371628,0.0633,0.0087,-0.1145,56.3494,0.0065,-0.0158,14.5203,0.0577,0.3504,44680051.35,1.3736,-0.0052,0.0405,0.1452,1
2020-04-22,587.79,616.69,578.88,607.2,142683366,0.1529,0.1068,-0.0239,64.7106,0.0163,-0.0082,26.558,0.0569,0.3328,48744019.15,2.9272,0.102,0.1859,0.2656,1
2020-04-23,608.87,617.11,602.62,610.45,65464502,0.1418,0.1078,-0.0185,65.1264,0.0246,-0.0016,13.663,0.0554,0.3576,48849220.5,1.3401,0.0054,0.1736,0.1366,1
2020-04-24,601.21,665.69,599.9,630.98,134986308,0.1603,0.1386,0.0144,67.7147,0.0325,0.0053,18.86,0.0561,0.3406,53564988.45,2.52,0.0336,0.1577,0.1886,1
2020-04-27,638.55,656.81,633.65,636.66,58482901,0.152,0.1422,0.0233,68.4131,0.0393,0.012,17.1968,0.0545,0.339,54202389.15,1.079,0.009,0.1495,0.172,0
2020-04-28,645.68,648.1,619.92,635.95,78453401,0.1344,0.1346,0.0219,68.2145,0.0444,0.0185,20.0993,0.0538,0.3599,54468544.3,1.4403,-0.0011,0.1542,0.201,0
2020-04-29,643.41,647.3,632.32,635.41,37494672,0.1192,0.1278,0.0208,68.0526,0.0478,0.0244,24.0987,0.0487,0.3699,54056053.5,0.6936,-0.0008,0.0465,0.241,1
2020-04-30,647.44,665.69,640.36,652.8,71345899,0.1337,0.1515,0.0483,70.4817,0.0507,0.0291,25.5071,0.0473,0.3704,55540451.45,1.2846,0.0274,0.0694,0.2551,0
2020-05-04,641.22,652.36,631.18,639.09,53456868,0.0984,0.1217,0.026,66.2076,0.0528,0.0343,17.2556,0.0488,0.3654,56701801.55,0.9428,-0.021,0.0129,0.1726,1
2020-05-05,647.32,658.59,644.43,650.42,44903763,0.1054,0.1353,0.0437,67.938,0.0534,0.0377,17.434,0.0481,0.3616,56732349.2,0.7915,0.0177,0.0216,0.1743,1
2020-05-06,651.91,661.24,643.67,650.46,40489094,0.0945,0.1293,0.0433,67.9442,0.0541,0.041,18.0551,0.0455,0.3496,56676930.95,0.7144,0.0001,0.0228,0.1806,1
2020-05-07,647.9,674.02,643.45,671.04,50026966,0.1154,0.1576,0.0755,71.0649,0.0548,0.0427,10.5138,0.0453,0.326,57109888.9,0.876,0.0316,0.0561,0.1051,1
2020-05-08,687.98,703.52,684.46,695.46,84262770,0.1391,0.1904,0.1134,74.2662,0.0568,0.0443,13.9258,0.0442,0.3318,58604346.2,1.4378,0.0364,0.0653,0.1393,1
2020-05-11,703.56,719.15,700.14,702.14,67085063,0.1338,0.1924,0.1227,75.0784,0.0595,0.047,11.2777,0.0437,0.3392,59464582.85,1.1282,0.0096,0.0987,0.1128,0
2020-05-12,696.8,698.38,652.36,658.7,100683202,0.0573,0.1134,0.0527,61.4869,0.0601,0.0521,3.4618,0.0478,0.355,62847100.1,1.602,-0.0619,0.0127,0.0346,1
2020-05-13,686.41,686.41,653.59,672.68,66430125,0.0716,0.131,0.0742,63.7606,0.0573,0.0523,5.7756,0.0433,0.3344,64984917.15,1.0222,0.0212,0.0342,0.0578,0
2020-05-14,660.34,672.79,642.83,645.48,49266771,0.0255,0.0816,0.0305,56.7416,0.0544,0.0544,1.5848,0.0468,0.3108,65682163.6,0.7501,-0.0404,-0.0381,0.0158,1
2020-05-15,649.1,659.3,636.11,656.02,62152260,0.0381,0.095,0.0468,58.6415,0.0501,0.0529,0.4933,0.0414,0.2652,66916991.3,0.9288,0.0163,-0.0567,0.0049,0
2020-05-18,660.79,666.18,641.91,647.64,62796089,0.0224,0.0776,0.0331,56.5162,0.0464,0.0521,1.3378,0.0418,0.2348,68393329.0,0.9182,-0.0128,-0.0776,0.0134,0
2020-05-19,654.94,657.06,630.78,633.32,42315854,-0.0002,0.0516,0.0101,52.9824,0.0416,0.051,-2.6291,0.0425,0.2036,68707575.1,0.6159,-0.0221,-0.0385,-0.0263,1
2020-05-20,633.82,650.38,626.17,644.47,55320985,0.0157,0.0672,0.0276,55.3247,0.0373,0.0475,-0.9209,0.0428,0.1468,68405042.95,0.8087,0.0176,-0.0419,-0.0092,1
2020-05-21,645.05,656.94,640.56,647.86,39167981,0.019,0.0697,0.0327,56.0418,0.0344,0.0447,-3.4543,0.041,0.133,63229273.7,0.6195,0.0053,0.0037,-0.0345,0
2020-05-22,652.61,655.39,641.23,643.5,37828973,0.011,0.0599,0.0255,54.823,0.0315,0.0423,-7.4713,0.0405,0.1209,61847497.25,0.6116,-0.0067,-0.0191,-0.0747,0
2020-05-26,650.97,651.66,636.65,640.13,33216635,0.0051,0.0521,0.0199,53.8483,0.0284,0.0397,-8.8316,0.0402,0.1188,56759013.6,0.5852,-0.0052,-0.0116,-0.0883,1
2020-05-27,643.26,653.6,634.72,649.8,35667956,0.0184,0.0652,0.035,56.2519,0.0263,0.0365,-1.3511,0.0398,0.1148,55618266.35,0.6413,0.0151,0.026,-0.0135,1
2020-05-28,654.04,665.17,651.35,661.8,40126278,0.0335,0.0812,0.0535,59.0988,0.0257,0.0339,-1.6174,0.0374,0.1103,53701910.2,0.7472,0.0185,0.0269,-0.0162,0
2020-05-29,659.89,661.69,652.99,658.27,40022527,0.0253,0.0723,0.0474,57.9051,0.0251,0.0322,1.9815,0.035,0.1074,53828302.95,0.7435,-0.0053,0.0161,0.0198,1
2020-06-01,665.28,691.51,663.46,683.42,39943702,0.0579,0.1084,0.0864,63.5535,0.0262,0.0301,4.1767,0.0347,0.1093,52258193.1,0.7644,0.0382,0.062,0.0418,1
2020-06-02,685.96,692.25,683.62,690.32,22153960,0.0617,0.1143,0.0964,64.9433,0.028,0.0294,6.5901,0.0302,0.113,50693047.7,0.437,0.0101,0.0784,0.0659,1
2020-06-03,694.5,701.24,689.26,693.0,25381289,0.0592,0.1135,0.0995,65.4937,0.0296,0.0294,9.4234,0.0279,0.1193,49716924.0,0.5105,0.0039,0.0665,0.0942,1
2020-06-04,694.05,714.5,692.7,710.14,34202350,0.0766,0.1347,0.1253,68.8609,0.0317,0.0293,10.1898,0.0264,0.1298,49402586.8,0.6923,0.0247,0.073,0.1019,1
2020-06-05,716.98,727.32,707.4,711.0,33076685,0.07,0.1301,0.1252,69.0242,0.0336,0.0301,9.7459,0.026,0.1418,48555072.75,0.6812,0.0012,0.0801,0.0975,0
2020-06-08,727.5,727.5,703.49,705.51,31414953,0.0555,0.116,0.1153,66.6219,0.0344,0.0312,9.6364,0.0262,0.1468,45912681.9,0.6842,-0.0077,0.0323,0.0964,0
2020-06-09,701.38,711.58,689.11,690.97,25857161,0.0304,0.0891,0.0913,60.6057,0.0335,0.0321,7.9421,0.0264,0.146,43851286.8,0.5897,-0.0206,0.0009,0.0794,1
2020-06-10,693.65,710.03,692.28,706.71,22132647,0.0485,0.1089,0.1148,64.3579,0.0329,0.0317,8.7581,0.0253,0.1506,39923759.05,0.5544,0.0228,0.0198,0.0876,0
2020-06-11,703.94,704.82,688.21,691.22,20385805,0.0231,0.081,0.0894,58.4569,0.0316,0.0323,4.4455,0.026,0.1565,37621543.05,0.5419,-0.0219,-0.0266,0.0445,1
2020-06-12,674.27,716.08,672.92,714.19,38548899,0.0513,0.1118,0.1242,63.763,0.0312,0.0312,8.495,0.0281,0.1571,37085649.45,1.0395,0.0332,0.0045,0.0849,1
2020-06-15,703.49,731.34,701.74,725.76,53107403,0.0615,0.1241,0.1408,66.1109,0.0321,0.031,6.1953,0.0291,0.1651,36633406.6,1.4497,0.0162,0.0287,0.062,1
2020-06-16,738.55,741.05,712.62,727.18,51187003,0.0571,0.1208,0.1414,66.3987,0.033,0.0313,5.3396,0.03,0.1708,36052952.3,1.4198,0.002,0.0524,0.0534,0
2020-06-17,722.93,735.16,720.17,726.12,41782053,0.05,0.1139,0.1382,65.9485,0.0332,0.0318,4.7792,0.03,0.1676,36026262.25,1.1598,-0.0015,0.0275,0.0478,1
2020-06-18,722.37,748.44,721.74,744.35,40471557,0.0686,0.1356,0.1648,69.7474,0.0342,0.0316,4.8174,0.031,0.1688,35283790.85,1.147,0.0251,0.0769,0.0482,1
2020-06-19,750.69,804.09,747.09,790.88,105804173,0.121,0.1969,0.2347,76.8472,0.0378,0.0314,11.2349,0.0315,0.1864,38615600.45,2.7399,0.0625,0.1074,0.1123,0
2020-06-22,797.17,811.02,779.91,784.92,60198705,0.1007,0.1792,0.2227,74.4375,0.0415,0.0336,11.2557,0.0338,0.2003,39734087.05,1.515,-0.0075,0.0815,0.1126,0
2020-06-23,786.65,792.83,771.41,773.57,37962078,0.0761,0.1548,0.2025,69.9396,0.0431,0.0359,11.9542,0.0352,0.2016,39971359.2,0.9497,-0.0145,0.0638,0.1195,1
2020-06-24,780.31,796.86,769.44,776.69,51586221,0.0722,0.1522,0.2049,70.4679,0.0436,0.0373,9.9022,0.0355,0.1991,40767272.45,1.2654,0.004,0.0696,0.099,0
2020-06-25,776.31,786.2,770.04,772.22,39679374,0.0594,0.1391,0.1956,68.6076,0.0434,0.0387,11.7184,0.0354,0.1971,40744927.25,0.9738,-0.0058,0.0374,0.1172,1
2020-06-26,777.12,787.55,771.82,782.9,30921913,0.0665,0.1479,0.2096,70.6043,0.0431,0.0391,9.6207,0.0342,0.1887,40289896.55,0.7675,0.0138,-0.0101,0.0962,0
2020-06-29,776.78,782.04,771.17,774.58,25621946,0.0497,0.1297,0.1944,67.0277,0.0424,0.0401,6.7267,0.0335,0.1885,39573808.75,0.6474,-0.0106,-0.0132,0.0673,0
2020-06-30,780.81,782.61,762.18,766.02,30276420,0.0343,0.1121,0.1791,63.4655,0.0406,0.0406,5.3412,0.034,0.1858,39979931.75,0.7573,-0.0111,-0.0098,0.0534,1
2020-07-01,773.17,786.2,767.79,781.08,28464103,0.0492,0.128,0.1998,66.8077,0.0391,0.0397,7.569,0.0335,0.1798,40134072.45,0.7092,0.0197,0.0057,0.0757,1
2020-07-02,786.69,797.8,783.11,794.52,28789533,0.0605,0.1408,0.2178,69.4902,0.0388,0.039,6.7401,0.0306,0.1814,39863431.6,0.7222,0.0172,0.0289,0.0674,1
2020-07-03,803.3,809.26,797.98,806.96,29434266,0.0692,0.1515,0.234,71.7647,0.0393,0.0385,2.0332,0.0288,0.1851,39681310.65,0.7418,0.0157,0.0307,0.0203,1
2020-07-06,814.68,838.6,808.85,835.8,47016185,0.0962,0.1837,0.2745,76.1954,0.0411,0.038,6.4822,0.0281,0.192,40461372.25,1.162,0.0357,0.079,0.0648,0
2020-07-07,839.5,841.46,815.26,823.0,35189589,0.0713,0.1581,0.2518,70.8792,0.0425,0.0394,6.3899,0.0295,0.191,40927993.65,0.8598,-0.0153,0.0744,0.0639,0
2020-07-08,823.27,828.19,807.91,811.52,26204095,0.0507,0.1356,0.2315,66.4043,0.0421,0.0404,4.4844,0.0294,0.1878,41131566.05,0.6371,-0.0139,0.039,0.0448,1
2020-07-09,816.48,828.22,806.21,823.37,36418942,0.0594,0.1454,0.2464,68.6075,0.0415,0.0401,6.6238,0.0257,0.1701,41933222.9,0.8685,0.0146,0.0363,0.0662,1
2020-07-10,825.28,850.6,823.37,847.65,43759967,0.0813,0.1709,0.2796,72.5759,0.042,0.0396,8.2705,0.0246,0.166,42193776.3,1.0371,0.0295,0.0504,0.0827,1
2020-07-13,859.07,879.08,857.55,873.35,69608392,0.1021,0.1967,0.3142,76.0299,0.044,0.0395,12.7514,0.0247,0.1732,43018825.75,1.6181,0.0303,0.0449,0.1275,0
2020-07-14,872.9,876.38,851.82,865.23,67331128,0.0824,0.177,0.2981,72.9056,0.0457,0.0411,12.9514,0.0247,0.1765,43826032.0,1.5363,-0.0093,0.0513,0.1295,0
2020-07-15,874.68,893.12,811.52,832.28,139669773,0.0371,0.1264,0.2455,61.8063,0.0449,0.0431,6.555,0.0313,0.168,48720418.0,2.8668,-0.0381,0.0256,0.0656,0
2020-07-16,833.63,843.56,818.04,832.01,60961724,0.0332,0.1205,0.2421,61.7234,0.0423,0.043,4.7186,0.0321,0.1568,49744926.35,1.2255,-0.0003,0.0105,0.0472,1
2020-07-17,832.73,866.58,829.57,862.84,49726765,0.0642,0.1546,0.2845,67.144,0.0412,0.0414,6.9248,0.0331,0.1604,46941055.95,1.0593,0.0371,0.0179,0.0692,1
2020-07-20,865.59,872.0,857.4,866.54,36592938,0.0618,0.1524,0.2863,67.7346,0.0412,0.0412,3.6779,0.0325,0.1668,45760767.6,0.7997,0.0043,-0.0078,0.0368,1
2020-07-21,875.16,892.31,874.03,889.85,42173371,0.0811,0.1749,0.3167,71.2417,0.0419,0.0405,8.1227,0.0321,0.1726,45971332.25,0.9174,0.0269,0.0285,0.0812,1
2020-07-22,895.02,907.2,884.95,904.49,59771457,0.0886,0.1852,0.3338,73.2111,0.0434,0.0405,11.4563,0.032,0.1821,46380594.05,1.2887,0.0165,0.0868,0.1146,1
2020-07-23,904.47,938.66,898.78,928.78,58333751,0.1054,0.2068,0.3646,76.1317,0.0455,0.0407,12.8023,0.0331,0.1932,47313312.9,1.2329,0.0269,0.1163,0.128,1
2020-07-24,928.87,976.26,928.78,968.65,120597372,0.1363,0.246,0.4172,79.9883,0.0489,0.041,14.2748,0.0329,0.2152,51797085.85,2.3283,0.0429,0.1226,0.1427,1
2020-07-27,983.39,992.42,960.42,973.19,80304827,0.1265,0.2396,0.4179,80.3771,0.0526,0.0432,11.4318,0.0331,0.2336,54531229.9,1.4726,0.0047,0.1231,0.1143,1
2020-07-28,973.19,990.25,970.68,982.89,55114422,0.123,0.2397,0.4259,81.2169,0.0553,0.0453,13.5987,0.0328,0.243,55773130.0,0.9882,0.01,0.1046,0.136,0
2020-07-29,982.98,985.19,934.49,946.31,72663399,0.0729,0.1845,0.3678,69.1921,0.0563,0.0489,13.7009,0.0362,0.2489,57983094.8,1.2532,-0.0372,0.0462,0.137,1
2020-07-30,947.37,965.74,935.19,951.82,72857444,0.0711,0.1826,0.3706,69.9146,0.055,0.0499,14.4001,0.0362,0.2449,60186490.35,1.2105,0.0058,0.0248,0.144,0
2020-07-31,954.37,960.91,926.52,932.97,74958061,0.0449,0.152,0.3389,64.3539,0.053,0.0513,8.1278,0.0372,0.2427,62462680.1,1.2,-0.0198,-0.0368,0.0813,0
2020-08-03,925.84,928.42,904.09,906.75,46715383,0.014,0.1144,0.2974,57.5027,0.0491,0.052,4.6403,0.0386,0.2443,62447640.0,0.7481,-0.0281,-0.0683,0.0464,1
2020-08-04,911.99,978.06,902.8,970.66,92041055,0.0767,0.1839,0.3835,66.7848,0.0466,0.0482,9.0813,0.0356,0.2294,65290213.3,1.4097,0.0705,-0.0124,0.0908,0
2020-08-05,978.97,991.15,956.08,959.76,74549993,0.0581,0.1629,0.3629,64.2089,0.0463,0.0483,6.1106,0.0367,0.2221,67707508.2,1.1011,-0.0112,0.0142,0.0611,1
2020-08-06,973.55,978.38,951.34,963.21,49322975,0.0557,0.1594,0.3628,64.6734,0.0453,0.0475,3.707,0.0359,0.2118,68352709.85,0.7216,0.0036,0.012,0.0371,1
2020-08-07,961.27,973.91,956.94,968.79,32984416,0.0556,0.1586,0.3657,65.4542,0.0443,0.0467,0.0145,0.0358,0.2065,67813932.3,0.4864,0.0058,0.0384,0.0001,0
2020-08-10,974.5,977.16,951.48,956.78,26958997,0.0383,0.1378,0.3441,62.2643,0.0427,0.0463,-1.6862,0.0363,0.2069,65681462.55,0.4105,-0.0124,0.0552,-0.0169,1
2020-08-11,963.53,974.9,947.98,963.08,46828306,0.0407,0.1388,0.3482,63.2754,0.0408,0.045,-2.0155,0.0364,0.2005,64656321.45,0.7243,0.0066,-0.0078,-0.0202,0
2020-08-12,957.3,968.13,950.89,960.28,30264617,0.0339,0.1295,0.3397,62.4742,0.039,0.0439,1.4763,0.0348,0.1796,59186063.65,0.5113,-0.0029,0.0005,0.0148,0
2020-08-13,960.46,965.38,952.34,957.78,24830322,0.0282,0.121,0.3318,61.7227,0.0369,0.0426,0.6262,0.0323,0.1502,57379493.55,0.4327,-0.0026,-0.0056,0.0063,0
