Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target
2025-04-23,976.25,976.25,947.44,949.12,30570642,0.0476,0.0798,0.1256,66.7717,0.0253,0.0184,5.8659,0.0237,0.1263,30674815.1,0.9966,-0.0193,0.0316,0.0587,0
2025-04-24,942.26,949.12,939.85,945.62,25931754,0.0394,0.0726,0.1201,65.3156,0.0255,0.0199,9.0517,0.0221,0.1295,30295989.6,0.8559,-0.0037,0.0207,0.0905,0
2025-04-25,949.56,953.61,933.28,942.86,18500878,0.0328,0.0666,0.1155,64.128,0.0252,0.021,8.0295,0.0225,0.133,30351346.7,0.6096,-0.0029,0.0024,0.0803,1
2025-04-28,942.86,951.98,941.47,947.3,13920492,0.034,0.0686,0.1194,65.2235,0.0248,0.0217,8.7938,0.0222,0.1368,29092300.5,0.4785,0.0047,-0.0036,0.0879,0
2025-04-29,946.6,951.54,937.43,941.67,18918308,0.0251,0.0597,0.1115,62.6124,0.024,0.0222,5.6477,0.0217,0.1389,28814293.8,0.6566,-0.0059,-0.027,0.0565,1
2025-04-30,943.74,955.53,942.41,949.66,31936870,0.0305,0.0658,0.1196,64.768,0.0235,0.0223,3.2228,0.0196,0.141,28328232.3,1.1274,0.0085,0.0006,0.0322,0
2025-05-02,952.03,958.0,947.2,948.13,17840404,0.026,0.0614,0.1165,64.007,0.0229,0.0225,2.3368,0.0193,0.1436,27781570.1,0.6422,-0.0016,0.0027,0.0234,1
2025-05-05,956.57,962.98,953.26,955.48,15068024,0.0306,0.0667,0.1238,66.0696,0.0225,0.0224,1.5776,0.0194,0.1387,27109421.0,0.5558,0.0078,0.0134,0.0158,0
2025-05-06,952.13,957.11,949.32,952.97,17490156,0.0252,0.0613,0.1195,64.7059,0.022,0.0223,0.2388,0.018,0.1369,27405250.6,0.6382,-0.0026,0.006,0.0024,1
2025-05-07,954.1,961.36,948.38,959.83,21420778,0.0294,0.066,0.1261,66.7272,0.0217,0.0221,-0.8204,0.0163,0.1333,27913787.6,0.7674,0.0072,0.0193,-0.0082,0
2025-05-08,964.36,964.36,946.75,951.39,34803430,0.0184,0.0543,0.1149,62.021,0.0208,0.022,0.2392,0.0169,0.1317,27976936.4,1.244,-0.0088,0.0018,0.0024,0
