Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target,Probability,Signal,Position_Change
2024-07-22,4016.82,4035.5,3984.17,4005.05,1896386,0.056,0.084,0.1362,72.38,0.0252,0.0172,7.1167,0.0201,0.1467,3265966.4,0.5807,-0.0035,0.0271,0.0712,1,0.4356,-1,0
2024-07-23,4000.98,4074.5,3985.38,4019.06,2365208,0.0537,0.0841,0.1386,73.0556,0.0264,0.019,7.9922,0.0209,0.1495,3299119.1,0.7169,0.0035,0.0343,0.0799,1,0.4394,-1,0
2024-07-24,4005.19,4053.39,3987.07,4022.7,1809793,0.0492,0.0814,0.1381,73.2388,0.0271,0.0206,8.2987,0.0209,0.1508,3322668.35,0.5447,0.0009,0.033,0.083,1,0.4373,-1,0
2024-07-25,4012.19,4057.03,3992.76,4037.88,2810342,0.0479,0.0819,0.1407,74.0316,0.0276,0.0219,10.8306,0.0206,0.1507,3381193.2,0.8312,0.0038,0.0039,0.1083,1,0.4369,-1,0
2024-07-26,4063.57,4131.25,4051.47,4098.93,3552210,0.0573,0.094,0.1562,76.9847,0.0286,0.023,12.0891,0.0213,0.1553,3332475.9,1.0659,0.0151,0.0199,0.1209,0,0.4484,-1,0
2024-07-29,4124.29,4139.24,4083.19,4092.62,1746803,0.0501,0.0884,0.1526,76.0224,0.0292,0.0243,4.9551,0.0214,0.1568,3283237.5,0.532,-0.0015,0.0219,0.0496,0,0.4331,-1,0
2024-07-30,4101.97,4108.41,4042.37,4077.91,1797906,0.0417,0.0809,0.1468,73.7093,0.0292,0.0253,4.9479,0.0221,0.1591,3240196.65,0.5549,-0.0036,0.0146,0.0495,1,0.4353,-1,0
2024-07-31,4063.57,4123.36,4058.9,4096.6,2330091,0.0419,0.0822,0.1503,74.7601,0.029,0.026,5.1956,0.0215,0.1611,3241328.75,0.7189,0.0046,0.0184,0.052,1,0.4374,-1,0
2024-08-01,4109.72,4128.31,4077.63,4107.57,2202244,0.0402,0.0815,0.1516,75.3821,0.0287,0.0265,2.1263,0.021,0.159,3260381.05,0.6755,0.0027,0.0173,0.0213,0,0.441,-1,0
2024-08-02,4077.58,4108.41,3988.84,4001.03,2811282,0.012,0.0513,0.1204,59.9354,0.0269,0.0271,-0.4499,0.0191,0.1585,3275045.1,0.8584,-0.0259,-0.0239,-0.0045,0,0.5015,-1,0
2024-08-05,3959.88,3959.88,3839.84,3881.46,2787771,-0.0165,0.019,0.086,48.0382,0.0228,0.0269,-3.0859,0.0212,0.1569,3331002.85,0.8369,-0.0299,-0.0516,-0.0309,1,0.4913,-1,0
2024-08-06,3896.31,3977.86,3886.83,3896.55,2203067,-0.0115,0.0221,0.0892,49.4032,0.019,0.0252,-3.0482,0.022,0.1473,3353212.1,0.657,0.0039,-0.0445,-0.0305,1,0.502,-1,0
2024-08-07,3949.61,3965.44,3905.05,3923.87,1237666,-0.0042,0.0281,0.0958,51.8684,0.0163,0.0233,-2.4568,0.0203,0.1349,3349805.35,0.3695,0.007,-0.0422,-0.0246,0,0.5186,-1,0
2024-08-08,3905.7,3953.34,3886.08,3897.81,2441283,-0.0098,0.0204,0.0876,49.3961,0.0136,0.0215,-3.4689,0.0204,0.1131,3338383.7,0.7313,-0.0066,-0.0511,-0.0347,1,0.4846,-1,0
2024-08-09,3939.33,3973.57,3928.63,3950.31,1302536,0.0032,0.0328,0.1011,54.1387,0.0122,0.0194,-3.6258,0.0206,0.0821,3159901.05,0.4122,0.0135,-0.0127,-0.0363,0,0.5602,1,2
2024-08-12,3951.47,3959.88,3910.7,3919.39,936912,-0.0042,0.0237,0.0915,51.1011,0.0106,0.0178,-4.2327,0.02,0.0817,2531288.45,0.3701,-0.0078,0.0098,-0.0423,1,0.5124,-1,-2
2024-08-13,3935.59,3955.21,3907.57,3920.6,1495593,-0.0035,0.023,0.0908,51.2165,0.0091,0.016,-3.8576,0.0197,0.0795,2363666.6,0.6327,0.0003,0.0062,-0.0386,1,0.5127,-1,0
2024-08-14,3931.86,4022.66,3912.38,4012.43,3226545,0.0179,0.0451,0.1151,59.1018,0.0095,0.0144,-2.0546,0.0201,0.0741,2423517.8,1.3313,0.0234,0.0226,-0.0205,1,0.5541,1,2
2024-08-16,4063.57,4135.5,4040.31,4125.27,3457058,0.0419,0.0713,0.1448,66.3083,0.0118,0.0136,0.4309,0.02,0.0769,2315702.5,1.4929,0.0281,0.0584,0.0043,1,0.4973,-1,-2
2024-08-19,4129.9,4198.32,4101.27,4194.35,2055210,0.0534,0.0855,0.162,69.815,0.0147,0.0136,4.8318,0.0204,0.0857,2223295.3,0.9244,0.0167,0.0618,0.0483,1,0.471,-1,0
2024-08-20,4208.37,4264.42,4203.7,4225.46,2212298,0.0551,0.0895,0.1687,71.2654,0.0175,0.0143,8.8626,0.0203,0.0961,2239090.9,0.988,0.0074,0.0781,0.0886,1,0.4466,-1,0
2024-08-21,4220.51,4259.75,4196.74,4251.8,1896990,0.0555,0.0922,0.1739,72.4716,0.0199,0.0154,9.117,0.0202,0.1067,2215680.0,0.8562,0.0062,0.0845,0.0912,0,0.4378,-1,0
2024-08-22,4259.74,4260.63,4201.08,4205.56,1829872,0.0396,0.0769,0.1593,67.1434,0.021,0.0166,7.1789,0.0205,0.1136,2216683.95,0.8255,-0.0109,0.0481,0.0718,0,0.4653,-1,0
2024-08-23,4203.7,4209.3,4161.66,4169.97,1809253,0.0278,0.065,0.1478,63.2866,0.021,0.0176,6.9824,0.0195,0.1176,2166629.5,0.8351,-0.0085,0.0108,0.0698,1,0.4818,-1,0
2024-08-26,4193.42,4252.41,4189.68,4205.98,1844164,0.0331,0.0711,0.1558,65.4491,0.0211,0.0182,6.4722,0.018,0.1208,2081227.2,0.8861,0.0086,0.0028,0.0647,0,0.4693,-1,0
2024-08-27,4208.37,4213.04,4191.36,4201.03,930697,0.0287,0.0669,0.1527,64.8834,0.021,0.0188,7.1858,0.0167,0.1245,2040421.9,0.4561,-0.0012,-0.0058,0.0719,1,0.4632,-1,0
2024-08-28,4202.53,4262.08,4163.81,4209.35,1848058,0.0278,0.0661,0.1532,65.4244,0.0208,0.0191,7.3649,0.0172,0.1281,2042929.5,0.9046,0.002,-0.01,0.0736,1,0.4755,-1,0
2024-08-29,4166.33,4256.01,4166.33,4214.72,2133641,0.0262,0.0646,0.1529,65.7907,0.0205,0.0194,5.0416,0.0175,0.1315,2033107.0,1.0494,0.0013,0.0022,0.0504,1,0.4746,-1,0
2024-08-30,4203.7,4289.87,4192.3,4253.91,3637222,0.0323,0.0714,0.1617,68.4203,0.0206,0.0195,3.1183,0.0178,0.1355,2104855.9,1.728,0.0093,0.0201,0.0312,0,0.4566,-1,0
2024-09-02,4274.69,4285.9,4214.91,4223.36,1216500,0.0224,0.0611,0.1516,64.2727,0.0202,0.0197,0.6916,0.0182,0.1383,2025116.8,0.6007,-0.0072,0.0041,0.0069,0,0.4949,-1,0
2024-09-03,4223.36,4255.91,4199.87,4215.23,1717263,0.0185,0.0566,0.1477,63.1752,0.0194,0.0197,-0.2421,0.0184,0.1322,1971591.4,0.871,-0.0019,0.0034,-0.0024,0,0.4958,-1,0
2024-09-04,4182.16,4191.55,4144.56,4184.31,1265505,0.0099,0.0468,0.1377,59.0455,0.018,0.0195,-1.5873,0.0179,0.1249,1924713.3,0.6575,-0.0073,-0.0059,-0.0159,0,0.4867,-1,0
2024-09-05,4185.95,4202.76,4160.86,4181.23,1688793,0.0083,0.0442,0.1353,58.6344,0.0166,0.0189,-0.5785,0.0165,0.1169,1947269.65,0.8673,-0.0007,-0.0079,-0.0058,0,0.4778,-1,0
2024-09-06,4179.36,4221.4,4147.65,4163.29,1649179,0.0036,0.0381,0.129,56.1804,0.015,0.0182,-0.1602,0.0162,0.1041,1907664.45,0.8645,-0.0043,-0.0213,-0.0016,0,0.492,-1,0
2024-09-09,4161.66,4194.59,4138.77,4156.57,1184938,0.0018,0.0349,0.1258,55.2477,0.0135,0.0173,-1.1748,0.016,0.0938,1901784.55,0.6231,-0.0016,-0.0158,-0.0117,1,0.4892,-1,0
2024-09-10,4149.94,4241.02,4148.07,4211.03,1385591,0.0135,0.0465,0.1389,60.9116,0.0129,0.0162,0.238,0.0163,0.0754,1924218.5,0.7201,0.0131,-0.001,0.0024,0,0.5396,1,2
2024-09-11,4223.73,4249.8,4176.84,4184.41,1325919,0.0064,0.0383,0.1302,57.107,0.0121,0.0155,-0.5925,0.0166,0.0496,1915734.8,0.6921,-0.0063,0.0,-0.0059,1,0.4927,-1,-2
2024-09-12,4213.27,4234.15,4139.52,4220.23,2742216,0.0136,0.0452,0.1383,60.6671,0.0118,0.0146,0.1307,0.0173,0.0296,1891518.35,1.4497,0.0086,0.0093,0.0013,1,0.5238,1,2
2024-09-13,4231.72,4247.6,4208.37,4224.81,1458786,0.0132,0.0444,0.138,61.1116,0.0116,0.014,-0.6841,0.0165,0.0248,1791604.75,0.8142,0.0011,0.0148,-0.0068,0,0.4943,-1,-2
2024-09-16,4228.92,4246.71,4198.51,4216.07,1155120,0.0101,0.0406,0.1341,59.7247,0.0112,0.0135,-0.1726,0.017,0.0249,1746600.25,0.6614,-0.0021,0.0143,-0.0017,0,0.4843,-1,0
2024-09-17,4216.07,4237.14,4171.93,4208.97,1699364,0.0076,0.0372,0.1307,58.5619,0.0106,0.0129,-0.1485,0.0165,0.0246,1720953.55,0.9875,-0.0017,-0.0005,-0.0015,0,0.5182,-1,0
2024-09-18,4200.94,4200.94,4036.48,4059.98,2961779,-0.0255,0.0005,0.0897,40.6694,0.0074,0.0122,-2.9713,0.0185,0.039,1774193.0,1.6694,-0.0354,-0.0297,-0.0297,0,0.5303,1,2
2024-09-19,4100.98,4131.02,3999.86,4013.27,2927551,-0.0333,-0.0106,0.0763,36.8664,0.0037,0.0106,-4.017,0.0193,0.0565,1829076.95,1.6006,-0.0115,-0.049,-0.0402,0,0.5389,1,0
2024-09-20,4032.65,4045.54,3949.14,4002.76,5447908,-0.0325,-0.0127,0.0727,36.0495,0.0004,0.0086,-3.8558,0.0198,0.0699,2011009.7,2.709,-0.0026,-0.0526,-0.0386,0,0.5192,-1,-2
