Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Target,Probability,Signal,Position_Change
2025-09-04,960.2,965.7,956.25,961.25,17597657,-0.0133,-0.0177,0.04,40.4685,-0.0112,-0.0073,-3.3045,0.0135,0.079,15540194.05,1.1324,0.0071,0.0036,-0.033,0.0098,0.5291,35.8004,28.1449,0.0105,-0.0064,-0.0116,-0.0112,1.0141,0.9013,1,0.536,1,0
2025-09-05,967.5,967.5,954.05,963.4,11602111,-0.0101,-0.0149,0.0419,41.9068,-0.0106,-0.008,-3.2342,0.0136,0.0791,15416289.4,0.7526,0.0022,0.0124,-0.0323,0.014,0.6952,40.4685,35.8004,0.0071,0.0105,-0.0112,-0.0116,1.1324,1.0141,1,0.5531,1,0
2025-09-08,969.0,973.15,960.45,966.0,11711307,-0.0067,-0.0118,0.0442,43.6789,-0.0098,-0.0083,-1.6594,0.0132,0.0772,15347795.45,0.7631,0.0027,0.0162,-0.0166,0.0131,0.437,41.9068,40.4685,0.0022,0.0071,-0.0106,-0.0112,0.7526,1.1324,0,0.5374,1,0
2025-09-09,974.0,974.4,962.7,965.15,13985539,-0.0069,-0.0122,0.0429,43.2148,-0.0092,-0.0085,-1.7209,0.0133,0.0772,15352309.2,0.911,-0.0009,0.0219,-0.0172,0.0121,0.2094,43.6789,41.9068,0.0027,0.0022,-0.0098,-0.0106,0.7631,0.7526,1,0.4905,-1,-2
2025-09-10,973.9,973.9,961.7,965.9,18091100,-0.0055,-0.011,0.0432,43.7824,-0.0085,-0.0085,-0.7705,0.0137,0.0744,15801571.5,1.1449,0.0008,0.012,-0.0077,0.0126,0.3443,43.2148,43.6789,-0.0009,0.0027,-0.0092,-0.0098,0.911,0.7631,1,0.5305,1,2
2025-09-11,960.3,969.25,959.9,967.8,15113633,-0.0032,-0.0087,0.0448,45.2748,-0.0077,-0.0083,1.0441,0.0139,0.0736,15910363.05,0.9499,0.002,0.0068,0.0104,0.0097,0.8449,43.7824,43.2148,0.0008,-0.0009,-0.0085,-0.0092,1.1449,0.911,0,0.5616,1,0
2025-09-12,969.9,970.75,962.25,967.3,14363519,-0.0034,-0.0088,0.0438,44.9367,-0.007,-0.0081,1.6499,0.0131,0.0719,15949669.2,0.9006,-0.0005,0.004,0.0165,0.0088,0.5941,45.2748,43.7824,0.002,0.0008,-0.0077,-0.0085,0.9499,1.1449,0,0.5632,1,0
2025-09-15,969.6,972.35,965.0,967.05,14486377,-0.0033,-0.0087,0.0431,44.7568,-0.0065,-0.0077,1.7305,0.0129,0.0682,15798402.25,0.917,-0.0003,0.0011,0.0173,0.0076,0.2789,44.9367,45.2748,-0.0005,0.002,-0.007,-0.0077,0.9006,0.9499,0,0.5635,1,0
2025-09-16,961.2,969.35,961.2,966.85,18661794,-0.0032,-0.0086,0.0424,44.6029,-0.006,-0.0074,2.3663,0.0121,0.0609,15767252.15,1.1836,-0.0002,0.0018,0.0237,0.0084,0.6933,44.7568,44.9367,-0.0003,-0.0005,-0.0065,-0.007,0.917,0.9006,0,0.553,1,0
2025-09-17,965.15,974.4,964.35,966.5,17361476,-0.0032,-0.0086,0.0416,44.3157,-0.0055,-0.007,1.2625,0.0115,0.055,16017704.05,1.0839,-0.0004,0.0006,0.0126,0.0104,0.2139,44.6029,44.7568,-0.0002,-0.0003,-0.006,-0.0065,1.1836,0.917,1,0.574,1,0
