Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,HL_Spread,Close_Position,RSI_Lag_1,RSI_Lag_2,Return_1D_Lag_1,Return_1D_Lag_2,MACD_Lag_1,MACD_Lag_2,Vol_Ratio_Lag_1,Vol_Ratio_Lag_2,Target,Probability,Signal,Position_Change
2026-03-13,23.7,23.9,23.0,23.07,32393627,-0.1051,-0.2322,-0.4626,25.7613,-0.0951,-0.1,-8.1974,0.0507,0.363,67394735.55,0.4807,-0.0266,-0.0415,-0.082,0.039,0.0778,27.8378,28.5849,-0.0092,-0.0124,-0.0937,-0.0956,0.656,0.7142,1,0.4009,-1,0
2026-03-16,23.18,25.84,22.25,24.31,80291416,-0.0519,-0.1848,-0.4312,35.8965,-0.0843,-0.0927,-3.6082,0.0554,0.2798,69793197.4,1.1504,0.0537,0.0447,-0.0361,0.1477,0.5738,25.7613,27.8378,-0.0266,-0.0092,-0.0951,-0.0937,0.4807,0.656,0,0.4569,-1,0
2026-03-17,24.09,24.18,23.4,23.58,38993711,-0.0733,-0.2027,-0.4458,33.037,-0.0835,-0.0932,-2.0764,0.0557,0.2578,67474924.6,0.5779,-0.03,-0.0264,-0.0208,0.0331,0.2308,35.8965,25.7613,0.0537,-0.0266,-0.0843,-0.0951,1.1504,0.4807,1,0.3783,-1,0
2026-03-18,23.63,25.12,23.62,24.86,81634949,-0.0208,-0.1542,-0.4133,41.7927,-0.0717,-0.0851,0.8519,0.0544,0.2173,64680686.65,1.2621,0.0543,0.0393,0.0085,0.0603,0.8267,33.037,35.8965,-0.03,0.0537,-0.0835,-0.0843,0.5779,1.1504,0,0.4411,-1,0
2026-03-19,24.25,24.46,23.33,23.48,38442639,-0.0685,-0.1948,-0.4434,36.2843,-0.0735,-0.0868,-3.731,0.0589,0.1925,60743526.3,0.6329,-0.0555,-0.0093,-0.0373,0.0481,0.1327,41.7927,33.037,0.0543,-0.03,-0.0717,-0.0835,1.2621,0.5779,1,0.3764,-1,0
2026-03-20,24.0,25.35,23.46,24.66,51124656,-0.0197,-0.1491,-0.413,43.1805,-0.0636,-0.0788,2.4512,0.0595,0.1468,60673856.4,0.8426,0.0503,0.0689,0.0245,0.0766,0.6349,36.2843,41.7927,-0.0555,0.0543,-0.0735,-0.0717,0.6329,1.2621,0,0.4443,-1,0
2026-03-23,24.47,24.5,23.12,23.32,48421423,-0.0665,-0.1892,-0.4424,38.133,-0.0658,-0.0798,0.2149,0.0627,0.1371,60427339.15,0.8013,-0.0543,-0.0407,0.0021,0.0592,0.1449,43.1805,36.2843,0.0503,-0.0555,-0.0636,-0.0735,0.8426,0.6329,0,0.3793,-1,0
2026-03-24,24.0,24.0,23.1,23.25,38234324,-0.0631,-0.1855,-0.4417,37.8839,-0.0643,-0.0769,-4.005,0.0585,0.1286,57592015.9,0.6639,-0.003,-0.014,-0.04,0.0387,0.1667,38.133,43.1805,-0.0543,0.0503,-0.0658,-0.0636,0.8013,0.8426,1,0.4149,-1,0
2026-03-25,23.55,24.49,23.45,23.86,60361238,-0.035,-0.1587,-0.4246,41.4722,-0.0586,-0.0717,-0.2508,0.0574,0.1201,57313875.35,1.0532,0.0262,-0.0402,-0.0025,0.0436,0.3942,37.8839,38.133,-0.003,-0.0543,-0.0643,-0.0658,0.6639,0.8013,1,0.3861,-1,0
2026-03-27,23.76,25.22,23.6,24.27,109353456,-0.0167,-0.1394,-0.4122,43.8213,-0.0525,-0.0669,2.4051,0.0595,0.1045,59165390.65,1.8483,0.0172,0.0336,0.0241,0.0667,0.4136,41.4722,37.8839,0.0262,-0.003,-0.0586,-0.0643,1.0532,0.6639,0,0.3958,-1,0
