Date,Open,High,Low,Close,Volume
2017-04-12,962.94,965.12,947.23,951.31,1050538
2017-04-13,953.99,957.57,922.61,925.63,2500472
2017-04-17,926.33,927.32,912.31,920.14,2270882
2017-04-18,926.17,927.84,915.06,917.74,1730620
2017-04-19,899.73,933.6,895.48,913.9,5626812
2017-04-20,916.35,926.96,910.64,924.38,1268842
2017-04-21,925.81,928.41,914.64,918.53,1161154
2017-04-24,914.24,930.0,907.29,925.41,2000020
2017-04-25,925.37,931.91,915.31,918.81,3148710
2017-04-26,930.14,931.71,915.45,918.36,2187438
2017-04-27,916.65,925.29,905.36,915.3,5773186
2017-04-28,911.86,913.74,901.52,903.57,2540510
2017-05-02,911.86,915.04,906.29,910.23,2382696
2017-05-03,912.25,932.13,901.72,929.07,3514406
2017-05-04,934.1,934.12,917.74,926.21,2708208
2017-05-05,917.42,927.16,915.24,922.39,1682474
2017-05-08,922.59,933.08,921.28,931.12,1071782
2017-05-09,931.71,938.49,927.18,935.13,1790270
2017-05-10,936.1,936.56,920.6,927.14,1206388
2017-05-11,933.04,938.09,923.28,933.9,2071302
2017-05-12,931.45,942.03,922.21,938.35,2314446
2017-05-15,944.09,945.23,930.78,940.12,1817604
2017-05-16,946.04,967.9,943.44,965.58,3601026
2017-05-17,967.31,978.14,963.13,975.99,2876198
2017-05-18,973.87,1022.36,970.79,1008.13,5138594
2017-05-19,1008.13,1009.86,988.18,996.58,1786044
2017-05-22,997.72,1015.11,997.72,1006.2,1663940
2017-05-23,1006.94,1019.24,999.31,1002.37,2748596
2017-05-24,1007.57,1021.57,1005.53,1017.25,2534548
2017-05-25,1024.35,1048.42,1020.77,1043.27,4094094
2017-05-26,1043.43,1044.16,1019.44,1024.85,1362550
2017-05-29,1025.14,1032.1,1019.18,1022.7,1749290
2017-05-30,1017.59,1023.93,1003.68,1014.05,927634
2017-05-31,1006.86,1022.56,1004.87,1012.26,2502730
2017-06-01,1005.67,1019.18,1005.67,1015.05,1080064
2017-06-02,1016.1,1030.25,1014.61,1019.54,1355648
2017-06-05,1019.58,1041.4,1017.65,1035.06,1500188
2017-06-06,1045.81,1076.8,1045.42,1071.65,5946720
2017-06-07,1072.05,1073.24,1024.17,1039.55,4927776
2017-06-08,1032.7,1035.46,999.9,1002.33,3330714
2017-06-09,1001.69,1012.58,988.18,996.52,3148034
2017-06-12,992.55,998.87,981.97,988.65,1626506
2017-06-13,990.78,997.25,983.55,985.38,1175414
2017-06-14,986.76,995.2,986.76,992.87,1489142
2017-06-15,992.39,992.67,966.67,969.16,2997198
2017-06-16,970.67,978.73,959.23,964.54,2450426
2017-06-19,971.45,983.29,966.73,977.4,1644742
2017-06-20,977.12,984.35,956.74,982.74,1670958
2017-06-21,980.73,981.6,963.53,967.19,1657818
2017-06-22,968.27,977.12,958.63,962.59,5775882
2017-06-23,964.42,970.26,946.17,949.26,1424756
2017-06-27,944.8,958.51,937.16,941.69,1974330
2017-06-28,944.52,947.78,938.53,944.58,1789726
2017-06-29,948.18,953.42,933.75,937.83,2471826
2017-06-30,934.27,955.41,933.75,949.52,1753848
2017-07-03,947.53,957.84,941.79,954.05,1475956
2017-07-04,953.93,956.8,944.58,951.33,1215134
2017-07-05,948.9,950.59,942.55,946.97,815856
2017-07-06,948.18,949.34,940.58,943.58,1026788
2017-07-07,944.56,947.15,934.71,937.3,1232090
2017-07-10,967.07,982.7,956.2,978.71,783608
2017-07-11,975.11,1010.8,975.11,995.12,3537504
2017-07-12,997.82,998.14,976.76,980.51,2646450
2017-07-13,982.74,993.6,975.35,983.31,3131960
2017-07-14,957.82,974.71,954.61,963.63,4508432
2017-07-17,963.73,973.54,957.5,962.83,2211822
2017-07-18,963.11,981.94,963.11,968.01,1908002
2017-07-19,970.89,988.77,970.73,984.59,3915576
2017-07-20,984.45,987.53,976.92,982.62,1182504
2017-07-21,978.68,1004.85,978.54,1001.31,2148416
2017-07-24,1000.43,1023.81,1000.43,1020.06,2271402
2017-07-25,1018.06,1039.93,1015.1,1036.5,2678832
2017-07-26,1031.87,1037.91,1026.63,1030.26,1459826
2017-07-27,1024.69,1041.86,994.18,1000.31,4255304
2017-07-28,1000.02,1004.88,984.3,1001.35,1382752
2017-07-31,995.99,1015.34,992.77,1004.38,2019662
2017-08-01,1007.68,1016.05,1004.06,1008.35,1747460
2017-08-02,1007.68,1010.91,992.37,997.12,1251024
2017-08-03,999.62,1008.49,994.16,1003.43,1882548
2017-08-04,1003.97,1019.09,1002.85,1016.87,1387890
2017-08-07,1014.33,1015.74,1000.1,1009.07,1885520
2017-08-08,1012.52,1019.21,1006.19,1008.91,1073958
2017-08-09,1007.68,1016.89,1004.98,1012.52,992946
2017-08-10,1011.31,1015.99,1002.18,1012.3,1526172
2017-08-11,1007.64,1021.79,1000.83,1006.09,1394736
2017-08-14,1008.89,1011.67,992.77,995.35,786504
2017-08-16,1001.23,1025.34,993.66,1004.6,1373340
2017-08-17,1007.96,1009.7,992.41,1001.9,1752374
2017-08-18,997.2,1027.8,996.15,1013.25,2837356
2017-08-21,1009.9,1027.43,1005.39,1019.29,2304834
2017-08-22,1016.95,1023.6,1004.46,1006.7,1131326
2017-08-23,1009.7,1014.45,996.86,1003.43,1562272
2017-08-24,1006.76,1014.92,1002.1,1006.31,1623908
2017-08-28,1009.54,1009.86,991.96,1002.56,2036796
2017-08-29,1000.43,1006.07,993.15,995.93,1312602
2017-08-30,1000.02,1003.65,991.6,1001.46,970782
2017-08-31,1001.64,1009.46,994.24,1006.21,1784664
2017-09-01,999.62,1006.9,982.11,990.13,1702330
2017-09-04,988.78,991.96,982.69,990.03,1062544
2017-09-05,991.56,1003.65,982.31,1001.37,1165994
2017-09-06,994.84,997.55,987.53,988.82,1228764
2017-09-07,990.75,994.95,987.95,991.6,870636
2017-09-08,989.04,997.2,988.56,995.83,1021134
2017-09-11,996.07,1000.81,987.53,989.32,732764
2017-09-12,997.16,1006.47,990.35,1003.03,1396460
2017-09-13,1007.68,1020.44,997.69,1003.33,1278980
2017-09-14,1000.43,1006.72,996.36,1002.42,1081510
2017-09-15,1007.28,1014.53,1001.64,1010.12,2944072
2017-09-18,1009.68,1015.32,1003.35,1007.3,726600
2017-09-19,1009.7,1009.7,1004.26,1006.98,782754
2017-09-20,1013.33,1013.33,997.32,1005.08,1334642
2017-09-21,1004.08,1024.21,999.62,1017.72,2438740
2017-09-22,1015.7,1018.53,1004.46,1009.13,2435396
2017-09-25,1006.29,1021.39,1004.76,1012.02,1599558
2017-09-26,1011.71,1018.32,993.98,997.47,1449230
2017-09-27,1003.65,1012.6,997.1,1005.67,2010356
2017-09-28,1005.55,1013.33,988.34,998.19,4332866
2017-09-29,999.22,1001.23,976.04,981.87,1985014
2017-10-03,983.5,989.26,978.28,986.9,1923006
2017-10-04,987.37,989.14,977.45,984.43,1300778
2017-10-05,983.9,984.89,977.21,979.31,1684686
2017-10-06,979.47,989.54,978.68,986.18,1389188
2017-10-09,983.92,994.76,983.92,989.18,1773616
2017-10-10,989.54,995.57,988.03,991.26,1222010
2017-10-11,991.56,1013.51,990.25,1007.82,1527746
2017-10-12,1012.92,1029.85,1010.5,1027.11,5006356
2017-10-13,1027.11,1051.6,1016.95,1031.3,4066320
