Date,Open,High,Low,Close,Volume
2019-11-07,639.0,651.47,637.75,649.51,14084039
2019-11-08,645.23,649.97,641.8,643.67,12019353
2019-11-11,640.82,643.12,633.45,635.79,11357841
2019-11-13,636.77,657.21,636.77,655.61,25225749
2019-11-14,657.25,659.75,648.26,651.35,14258133
2019-11-15,652.65,662.06,651.53,654.96,15691605
2019-11-18,655.76,661.71,648.08,649.77,14076051
2019-11-19,653.25,674.58,652.36,672.28,30176255
2019-11-20,692.45,700.18,687.18,689.16,43538120
2019-11-21,687.98,692.88,680.65,684.68,14897371
2019-11-22,686.69,698.89,684.68,688.65,22352865
2019-11-25,690.72,696.8,690.65,695.35,15146156
2019-11-26,698.27,701.94,692.88,694.77,35330983
2019-11-27,694.64,701.56,692.92,699.05,9642739
2019-11-28,700.29,705.41,696.42,703.7,13747479
2019-11-29,704.43,704.43,689.25,690.72,18559594
2019-12-02,712.47,718.91,702.23,706.46,31225364
2019-12-03,709.24,709.8,700.27,703.08,12990426
2019-12-04,700.45,702.45,682.97,691.41,20987607
2019-12-05,700.89,703.45,687.53,690.58,19942460
2019-12-06,691.54,698.22,686.24,692.39,13085234
2019-12-09,692.94,702.41,688.65,700.27,12642677
2019-12-10,700.02,700.71,692.05,695.53,10173333
2019-12-11,692.7,701.12,690.47,695.73,12364641
2019-12-12,699.22,700.83,693.17,698.31,10326606
2019-12-13,703.56,708.02,700.18,704.86,12668303
2019-12-16,708.91,709.75,696.6,697.6,11892718
2019-12-17,697.66,703.12,692.68,695.86,20324601
2019-12-18,695.99,703.56,695.55,701.72,14742077
2019-12-19,700.76,719.11,699.91,716.9,20507816
2019-12-20,719.15,720.29,710.73,712.07,21271510
2019-12-23,694.7,702.47,693.68,699.74,25107772
2019-12-24,698.62,700.02,686.87,688.63,18048449
2019-12-26,686.49,691.52,672.46,674.8,29761019
2019-12-27,679.96,688.51,677.43,686.8,17677571
2019-12-30,688.4,689.16,680.43,687.62,17123749
2019-12-31,686.64,687.4,671.53,674.2,22203005
2020-01-01,675.96,680.01,670.39,672.22,14004468
2020-01-02,673.28,686.18,673.28,683.66,17710316
2020-01-03,682.64,686.49,678.18,684.48,20984698
2020-01-06,676.85,680.37,667.05,668.61,24519177
2020-01-07,676.4,683.3,673.95,678.9,16683622
2020-01-08,674.62,683.28,672.39,673.8,16047902
2020-01-09,685.13,690.21,681.86,689.32,14982742
2020-01-10,691.05,693.75,685.6,689.16,12478359
2020-01-13,688.0,694.08,685.04,687.4,18282382
2020-01-14,685.75,690.21,677.67,681.03,15816535
2020-01-15,683.91,685.71,676.07,678.56,15817859
2020-01-16,680.85,687.24,680.41,684.82,12847975
2020-01-17,691.76,705.77,691.63,704.01,29463471
2020-01-20,716.48,716.48,679.7,682.35,32545850
2020-01-21,680.68,688.36,677.74,683.04,18922720
2020-01-22,687.53,688.76,681.79,682.79,10322817
2020-01-23,684.19,686.62,677.16,679.9,11247739
2020-01-24,679.96,684.13,676.2,677.54,14628445
2020-01-27,674.58,678.83,670.17,670.86,13387750
2020-01-28,671.77,672.39,651.73,655.36,24532236
2020-01-29,656.39,665.45,651.93,658.97,24746565
2020-01-30,658.59,658.9,641.22,642.89,22402689
2020-01-31,647.01,647.12,626.62,628.6,34750310
2020-02-03,610.01,623.39,606.96,616.96,30712290
2020-02-04,623.41,637.88,622.43,635.17,25383901
2020-02-05,638.95,646.92,636.9,645.01,18472100
2020-02-06,647.5,653.25,641.27,649.15,15538577
2020-02-07,646.12,646.72,636.01,638.4,12209212
2020-02-10,635.88,643.67,628.07,639.26,15142476
2020-02-11,644.52,652.89,643.47,646.9,13999816
2020-02-12,648.42,656.74,647.9,654.72,13533565
2020-02-13,658.03,658.03,651.29,656.43,13565659
2020-02-14,657.81,668.59,647.06,662.42,21227841
2020-02-17,663.04,670.68,656.5,658.26,13149130
2020-02-18,657.21,657.21,648.97,653.42,11127161
2020-02-19,658.75,670.81,656.85,669.63,14084409
2020-02-20,666.61,671.5,660.73,661.69,16892268
2020-02-24,654.47,657.7,641.02,643.43,21370214
2020-02-25,646.3,646.3,627.86,630.71,27745062
2020-02-26,627.86,628.91,617.78,619.85,29362748
2020-02-27,618.07,620.65,609.61,617.29,25054993
2020-02-28,603.33,604.26,590.01,591.64,39315769
2020-03-02,603.42,609.61,579.37,586.07,29500495
2020-03-03,592.11,602.88,588.68,597.96,27398798
2020-03-04,602.04,602.84,582.4,596.56,22105261
2020-03-05,602.13,604.69,581.55,583.85,30510390
2020-03-06,565.52,573.61,552.65,565.97,33734039
2020-03-09,552.19,552.61,487.6,496.12,88187018
2020-03-11,493.39,524.76,493.39,513.67,59578576
2020-03-12,483.14,490.27,466.98,473.35,55970485
2020-03-13,444.4,507.64,419.65,492.18,73297403
2020-03-16,472.26,480.78,447.52,452.29,38482258
2020-03-17,466.33,472.01,446.72,448.86,45445979
2020-03-18,456.56,461.28,427.93,431.27,44730415
2020-03-19,409.72,430.6,397.29,408.65,61404010
2020-03-20,418.35,460.83,414.12,453.29,63360475
2020-03-23,407.98,423.03,389.92,393.66,40670949
2020-03-24,414.12,431.94,398.89,420.09,45734887
2020-03-25,429.17,512.78,428.93,481.92,73130298
2020-03-26,487.95,497.35,464.15,474.77,45744488
2020-03-27,487.6,493.07,465.87,474.51,41657940
2020-03-30,463.37,478.6,454.2,458.85,30229866
2020-03-31,478.22,503.09,466.67,495.95,44292810
2020-04-01,499.73,500.78,465.42,481.12,41597459
2020-04-03,505.16,505.16,470.36,479.78,41367807
2020-04-07,490.76,540.59,489.82,537.07,54373624
2020-04-08,525.45,547.27,516.54,530.86,49880330
2020-04-09,540.59,548.96,531.24,543.24,33032857
2020-04-13,536.11,541.03,525.45,529.52,23673784
2020-04-15,533.04,550.38,508.97,512.02,35321842
2020-04-16,512.02,528.76,509.86,520.13,37455706
2020-04-17,541.48,547.71,531.08,545.04,33269335
2020-04-20,545.93,559.73,535.24,553.86,36030932
2020-04-21,538.81,557.51,518.32,550.98,61371628
2020-04-22,587.79,616.69,578.88,607.2,142683366
2020-04-23,608.87,617.11,602.62,610.45,65464502
2020-04-24,601.21,665.69,599.9,630.98,134986308
2020-04-27,638.55,656.81,633.65,636.66,58482901
2020-04-28,645.68,648.1,619.92,635.95,78453401
2020-04-29,643.41,647.3,632.32,635.41,37494672
2020-04-30,647.44,665.69,640.36,652.8,71345899
2020-05-04,641.22,652.36,631.18,639.09,53456868
2020-05-05,647.32,658.59,644.43,650.42,44903763
2020-05-06,651.91,661.24,643.67,650.46,40489094
2020-05-07,647.9,674.02,643.45,671.04,50026966
2020-05-08,687.98,703.52,684.46,695.46,84262770
2020-05-11,703.56,719.15,700.14,702.14,67085063
2020-05-12,696.8,698.38,652.36,658.7,100683202
2020-05-13,686.41,686.41,653.6,672.68,66430125
2020-05-14,660.34,672.79,642.83,645.48,49266771
2020-05-15,649.1,659.3,636.11,656.02,62152260
2020-05-18,660.79,666.18,641.91,647.64,62796089
2020-05-19,654.94,657.06,630.78,633.32,42315854
