Date,Open,High,Low,Close,Volume
2019-07-18,567.75,573.9,567.49,569.85,10802584
2019-07-19,570.59,571.93,559.25,561.29,8939228
2019-07-22,554.05,555.19,538.99,542.77,22171296
2019-07-23,542.12,542.12,529.72,534.79,27802864
2019-07-24,533.2,541.76,531.84,538.9,17363740
2019-07-25,539.87,547.07,538.75,540.12,19462008
2019-07-26,538.27,541.92,537.0,538.05,12829828
2019-07-29,537.17,537.17,525.24,530.26,9976492
2019-07-30,532.78,536.61,529.22,532.13,10394136
2019-07-31,529.24,535.62,527.88,531.99,13891840
2019-08-01,527.84,530.42,520.24,526.11,18241676
2019-08-02,523.55,526.63,516.68,524.34,27825536
2019-08-05,520.25,520.95,512.07,516.03,19822440
2019-08-06,513.13,523.37,513.13,518.37,24890940
2019-08-07,518.58,521.42,512.66,517.16,18750136
2019-08-08,520.47,531.13,516.92,528.8,19711600
2019-08-09,532.08,542.02,530.37,540.36,30436112
2019-08-13,538.3,538.3,521.56,525.77,15440068
2019-08-14,529.33,529.33,521.67,527.92,14254052
2019-08-16,524.26,528.76,521.92,527.51,15247560
2019-08-19,530.06,530.89,521.35,522.57,8498200
2019-08-20,523.14,527.53,522.57,525.82,10270592
2019-08-21,526.84,530.7,524.31,527.07,10472712
2019-08-22,525.88,525.88,513.14,514.81,13992044
2019-08-23,511.71,515.5,506.64,512.11,20099616
2019-08-26,519.74,536.61,513.13,534.24,25280244
2019-08-27,534.21,538.21,530.44,535.14,20660832
2019-08-28,532.79,534.53,527.19,532.19,13662588
2019-08-29,531.84,533.66,525.75,527.33,14783716
2019-08-30,528.88,535.15,526.16,527.57,19233320
2019-09-03,525.68,525.92,520.03,523.54,11428676
2019-09-04,522.6,538.47,520.71,532.25,15060704
2019-09-05,532.55,538.09,526.87,529.27,17296252
2019-09-06,527.58,534.35,525.99,531.82,12870004
2019-09-09,531.84,535.37,524.76,532.69,10643404
2019-09-11,538.47,538.47,530.69,533.09,15209116
2019-09-12,532.95,541.97,532.35,537.72,18132300
2019-09-13,533.02,536.92,529.94,534.55,15371340
2019-09-16,533.24,535.78,530.66,531.4,11030184
2019-09-17,532.29,532.43,520.5,523.63,10656556
2019-09-18,525.04,526.67,516.21,518.05,12959884
2019-09-19,520.9,524.29,513.37,521.44,10623310
2019-09-20,524.74,572.99,523.5,568.12,46150034
2019-09-23,596.51,607.47,582.04,595.42,41920410
2019-09-24,591.98,597.64,581.35,593.78,23379048
2019-09-25,591.94,591.94,582.56,587.11,15608976
2019-09-26,587.15,603.82,585.52,588.43,30671560
2019-09-27,591.16,593.64,586.11,589.24,14873170
2019-09-30,581.94,587.25,576.12,581.31,18218458
2019-10-01,583.22,594.35,578.3,591.42,18768352
2019-10-03,587.23,589.05,576.05,579.46,16298876
2019-10-04,585.66,587.06,561.34,563.43,18403632
2019-10-07,568.87,577.71,559.38,562.1,22513220
2019-10-09,566.93,582.47,563.57,581.64,17427270
2019-10-10,578.63,580.59,566.98,568.57,11556858
2019-10-11,574.65,579.67,563.07,567.74,17186318
2019-10-14,572.57,577.73,567.07,570.39,12267802
2019-10-15,571.62,580.15,571.55,579.22,8400374
2019-10-16,583.29,584.88,573.09,578.3,10586816
2019-10-17,581.33,582.44,574.51,577.78,12243614
2019-10-18,580.36,584.34,577.94,582.04,11233806
2019-10-22,595.3,595.3,583.74,586.92,20006228
2019-10-23,590.49,591.87,583.93,588.01,10190214
2019-10-24,591.04,593.95,580.78,585.4,13107494
2019-10-25,587.25,590.49,577.78,582.04,12993542
2019-10-27,587.23,588.15,584.88,586.16,1750082
2019-10-29,586.3,595.47,586.16,588.43,14232568
2019-10-30,590.52,598.0,588.67,591.2,12011366
2019-10-31,595.63,598.57,581.14,582.68,13217706
2019-11-01,586.78,589.02,581.38,587.27,11512260
2019-11-04,590.3,591.98,582.06,585.76,9935176
2019-11-05,587.72,589.52,582.06,587.01,12367810
2019-11-06,588.41,596.25,581.59,595.13,12130336
2019-11-07,597.19,601.31,591.98,598.47,16963034
2019-11-08,596.25,600.04,592.67,594.64,13251496
2019-11-11,593.19,600.75,592.22,598.97,14286610
2019-11-13,597.64,601.46,593.69,595.56,9293496
2019-11-14,598.52,604.77,595.39,603.3,11055218
2019-11-15,608.02,608.56,601.98,605.2,9279012
2019-11-18,604.77,605.93,596.1,597.69,9130292
2019-11-19,599.23,603.82,597.24,602.36,10570578
2019-11-20,602.88,607.59,600.04,603.04,11054258
2019-11-21,601.57,609.51,600.68,607.78,12019526
2019-11-22,607.92,607.92,597.67,598.97,7688010
2019-11-25,598.69,605.96,598.69,601.98,7893556
2019-11-26,605.46,606.07,600.01,603.85,8716002
2019-11-27,604.3,608.92,602.02,605.43,9580666
2019-11-28,606.29,607.64,597.67,599.23,12366040
2019-11-29,600.37,606.15,592.93,603.8,15567626
2019-12-02,603.33,603.33,596.06,599.44,8946204
2019-12-03,600.6,600.98,593.78,594.54,6991906
2019-12-04,593.17,595.25,584.5,592.77,11395614
2019-12-05,594.64,596.13,587.6,589.9,12772494
2019-12-06,591.49,596.72,586.4,590.11,13774650
