Datetime,Open,High,Low,Close,Volume
2026-05-15 10:00:00,1347.1,1347.6,1346.0,1347.5,126962
2026-05-15 10:05:00,1347.5,1347.5,1346.0,1347.0,81199
2026-05-15 10:10:00,1347.0,1347.1,1345.0,1345.1,105201
2026-05-15 10:15:00,1345.1,1345.3,1341.0,1341.1,175616
2026-05-15 10:20:00,1341.2,1342.5,1338.6,1342.4,234708
2026-05-15 10:25:00,1342.5,1342.8,1341.3,1342.3,66199
2026-05-15 10:30:00,1342.3,1342.4,1338.4,1338.8,348410
2026-05-15 10:35:00,1339.3,1340.0,1338.9,1339.5,78670
2026-05-15 10:40:00,1339.5,1340.7,1339.3,1339.9,72524
2026-05-15 10:45:00,1339.8,1340.7,1339.6,1340.4,195800
2026-05-15 10:50:00,1340.3,1341.0,1339.7,1340.6,237253
2026-05-15 10:55:00,1340.4,1340.7,1339.8,1340.0,95010
2026-05-15 11:00:00,1340.0,1340.0,1337.1,1337.3,160962
2026-05-15 11:05:00,1337.3,1337.7,1336.3,1336.8,95695
2026-05-15 11:10:00,1337.0,1339.8,1336.5,1339.3,90516
2026-05-15 11:15:00,1339.6,1339.9,1338.4,1339.7,79705
2026-05-15 11:20:00,1339.8,1339.9,1339.0,1339.4,50710
2026-05-15 11:25:00,1339.2,1339.4,1338.2,1338.7,42318
2026-05-15 11:30:00,1338.4,1339.5,1336.5,1339.1,88737
2026-05-15 11:35:00,1339.1,1340.5,1338.1,1339.4,89932
2026-05-15 11:40:00,1339.2,1339.6,1337.1,1338.1,81066
2026-05-15 11:45:00,1338.0,1338.4,1336.0,1336.1,530812
2026-05-15 11:50:00,1336.0,1336.1,1335.3,1335.3,104692
2026-05-15 11:55:00,1335.2,1336.0,1335.0,1335.3,64397
2026-05-15 12:00:00,1335.4,1337.5,1335.4,1337.0,122026
2026-05-15 12:05:00,1337.0,1337.5,1335.5,1335.7,138940
2026-05-15 12:10:00,1335.6,1336.0,1335.3,1335.6,93103
2026-05-15 12:15:00,1335.5,1336.0,1334.5,1335.7,188141
2026-05-15 12:20:00,1335.5,1336.0,1335.0,1336.0,87262
2026-05-15 12:25:00,1335.9,1337.3,1335.8,1335.9,473219
2026-05-15 12:30:00,1335.9,1336.6,1335.8,1336.0,142195
2026-05-15 12:35:00,1336.0,1336.8,1335.6,1335.7,131475
2026-05-15 12:40:00,1336.0,1337.0,1335.8,1337.0,700871
2026-05-15 12:45:00,1337.0,1338.3,1335.8,1336.0,571436
2026-05-15 12:50:00,1336.0,1337.4,1335.8,1336.2,332284
2026-05-15 12:55:00,1336.2,1336.9,1335.9,1335.9,149012
2026-05-15 13:00:00,1335.9,1336.6,1335.9,1335.9,156129
2026-05-15 13:05:00,1336.4,1337.2,1335.8,1337.1,573603
